,Generation,Best Solution,CrossOver,Mutation,Iteration
2,1000,27493,OX,ISM,0
1,10000,27382,OX,ISM,0
0,20000,26119,OX,ISM,0
2,1000,27017,OX,IVM,0
1,10000,26507,OX,IVM,0
0,20000,26000,OX,IVM,0
2,1000,27418,OX,SM,0
1,10000,27003,OX,SM,0
0,20000,26635,OX,SM,0
2,1000,28178,OX,RM,0
1,10000,27339,OX,RM,0
0,20000,27218,OX,RM,0
2,1000,26309,SCX,ISM,0
1,10000,26309,SCX,ISM,0
0,20000,26309,SCX,ISM,0
2,1000,26309,SCX,IVM,0
1,10000,26309,SCX,IVM,0
0,20000,26309,SCX,IVM,0
2,1000,26309,SCX,SM,0
1,10000,26309,SCX,SM,0
0,20000,26309,SCX,SM,0
2,1000,26309,SCX,RM,0
1,10000,26309,SCX,RM,0
0,20000,26309,SCX,RM,0
2,1000,30375,OX,ISM,1
1,10000,27151,OX,ISM,1
0,20000,25505,OX,ISM,1
2,1000,27587,OX,IVM,1
1,10000,26402,OX,IVM,1
0,20000,26155,OX,IVM,1
2,1000,27560,OX,SM,1
1,10000,26549,OX,SM,1
0,20000,26537,OX,SM,1
2,1000,26792,OX,RM,1
1,10000,26186,OX,RM,1
0,20000,25994,OX,RM,1
2,1000,26207,SCX,ISM,1
1,10000,26207,SCX,ISM,1
0,20000,26207,SCX,ISM,1
2,1000,26207,SCX,IVM,1
1,10000,26207,SCX,IVM,1
0,20000,26207,SCX,IVM,1
2,1000,26207,SCX,SM,1
1,10000,26207,SCX,SM,1
0,20000,26207,SCX,SM,1
2,1000,26207,SCX,RM,1
1,10000,26207,SCX,RM,1
0,20000,26207,SCX,RM,1
2,1000,26355,OX,ISM,2
1,10000,25223,OX,ISM,2
0,20000,24880,OX,ISM,2
2,1000,26332,OX,IVM,2
1,10000,25907,OX,IVM,2
0,20000,24801,OX,IVM,2
2,1000,26355,OX,SM,2
1,10000,24577,OX,SM,2
0,20000,24193,OX,SM,2
2,1000,34195,OX,RM,2
1,10000,28248,OX,RM,2
0,20000,27935,OX,RM,2
2,1000,25878,SCX,ISM,2
1,10000,25878,SCX,ISM,2
0,20000,25878,SCX,ISM,2
2,1000,25878,SCX,IVM,2
1,10000,25878,SCX,IVM,2
0,20000,25878,SCX,IVM,2
2,1000,25878,SCX,SM,2
1,10000,25878,SCX,SM,2
0,20000,25878,SCX,SM,2
2,1000,25828,SCX,RM,2
1,10000,25878,SCX,RM,2
0,20000,25878,SCX,RM,2
2,1000,29972,OX,ISM,3
1,10000,27483,OX,ISM,3
0,20000,27245,OX,ISM,3
2,1000,34350,OX,IVM,3
1,10000,32230,OX,IVM,3
0,20000,30922,OX,IVM,3
2,1000,28718,OX,SM,3
1,10000,28110,OX,SM,3
0,20000,27320,OX,SM,3
2,1000,29879,OX,RM,3
1,10000,29078,OX,RM,3
0,20000,27960,OX,RM,3
2,1000,25760,SCX,ISM,3
1,10000,25760,SCX,ISM,3
0,20000,25760,SCX,ISM,3
2,1000,25760,SCX,IVM,3
1,10000,25760,SCX,IVM,3
0,20000,25760,SCX,IVM,3
2,1000,25760,SCX,SM,3
1,10000,25760,SCX,SM,3
0,20000,25760,SCX,SM,3
2,1000,26782,SCX,RM,3
1,10000,26601,SCX,RM,3
0,20000,26447,SCX,RM,3
2,1000,39292,OX,ISM,4
1,10000,36747,OX,ISM,4
0,20000,35655,OX,ISM,4
2,1000,42216,OX,IVM,4
1,10000,36472,OX,IVM,4
0,20000,31790,OX,IVM,4
2,1000,38979,OX,SM,4
1,10000,38706,OX,SM,4
0,20000,37716,OX,SM,4
2,1000,27446,OX,RM,4
1,10000,27055,OX,RM,4
0,20000,26731,OX,RM,4
2,1000,26466,SCX,ISM,4
1,10000,26466,SCX,ISM,4
0,20000,26466,SCX,ISM,4
2,1000,26466,SCX,IVM,4
1,10000,26466,SCX,IVM,4
0,20000,26466,SCX,IVM,4
2,1000,26466,SCX,SM,4
1,10000,26466,SCX,SM,4
0,20000,26466,SCX,SM,4
2,1000,26523,SCX,RM,4
1,10000,26523,SCX,RM,4
0,20000,26523,SCX,RM,4
2,1000,33391,OX,ISM,5
1,10000,32920,OX,ISM,5
0,20000,30752,OX,ISM,5
2,1000,30180,OX,IVM,5
1,10000,27912,OX,IVM,5
0,20000,27314,OX,IVM,5
2,1000,29662,OX,SM,5
1,10000,29394,OX,SM,5
0,20000,28517,OX,SM,5
2,1000,28264,OX,RM,5
1,10000,28183,OX,RM,5
0,20000,25439,OX,RM,5
2,1000,25943,SCX,ISM,5
1,10000,25943,SCX,ISM,5
0,20000,25943,SCX,ISM,5
2,1000,25873,SCX,IVM,5
1,10000,25943,SCX,IVM,5
0,20000,25943,SCX,IVM,5
2,1000,25943,SCX,SM,5
