,Generation,Best Solution,CrossOver,Mutation,Iteration
2,1000,7718,SCX,ISM,0
1,10000,7535,SCX,ISM,0
0,20000,7233,SCX,ISM,0
2,1000,6468,SCX,ISM,1
1,10000,6367,SCX,ISM,1
0,20000,6163,SCX,ISM,1
2,1000,6202,SCX,ISM,2
1,10000,6150,SCX,ISM,2
0,20000,6066,SCX,ISM,2
2,1000,6698,SCX,ISM,3
1,10000,6573,SCX,ISM,3
0,20000,6517,SCX,ISM,3
2,1000,6635,SCX,ISM,4
1,10000,6553,SCX,ISM,4
0,20000,6377,SCX,ISM,4
2,1000,7369,SCX,ISM,5
1,10000,7309,SCX,ISM,5
0,20000,7136,SCX,ISM,5
2,1000,7050,SCX,ISM,6
1,10000,6946,SCX,ISM,6
0,20000,6747,SCX,ISM,6
2,1000,6020,SCX,ISM,7
1,10000,6003,SCX,ISM,7
0,20000,5958,SCX,ISM,7
2,1000,7290,SCX,ISM,8
1,10000,7041,SCX,ISM,8
0,20000,6867,SCX,ISM,8
2,1000,7005,SCX,ISM,9
1,10000,6949,SCX,ISM,9
0,20000,6895,SCX,ISM,9
2,1000,6379,SCX,ISM,10
1,10000,6270,SCX,ISM,10
0,20000,6156,SCX,ISM,10
2,1000,5873,SCX,ISM,11
1,10000,5819,SCX,ISM,11
0,20000,5783,SCX,ISM,11
2,1000,7007,SCX,ISM,12
1,10000,6917,SCX,ISM,12
0,20000,6818,SCX,ISM,12
2,1000,5775,SCX,ISM,13
1,10000,5739,SCX,ISM,13
0,20000,5622,SCX,ISM,13
2,1000,7454,SCX,ISM,14
1,10000,7166,SCX,ISM,14
0,20000,7076,SCX,ISM,14
2,1000,6277,SCX,ISM,15
1,10000,6144,SCX,ISM,15
0,20000,6121,SCX,ISM,15
2,1000,5972,SCX,ISM,16
1,10000,5911,SCX,ISM,16
0,20000,5880,SCX,ISM,16
2,1000,6464,SCX,ISM,17
1,10000,6398,SCX,ISM,17
0,20000,6344,SCX,ISM,17
2,1000,6541,SCX,ISM,18
1,10000,6476,SCX,ISM,18
0,20000,6383,SCX,ISM,18
2,1000,7247,SCX,ISM,19
1,10000,7047,SCX,ISM,19
0,20000,6807,SCX,ISM,19
2,1000,6217,SCX,ISM,20
1,10000,6047,SCX,ISM,20
0,20000,5949,SCX,ISM,20
2,1000,7091,SCX,ISM,21
1,10000,6962,SCX,ISM,21
0,20000,6850,SCX,ISM,21
2,1000,5963,SCX,ISM,22
1,10000,5886,SCX,ISM,22
0,20000,5832,SCX,ISM,22
2,1000,7848,SCX,ISM,23
1,10000,7589,SCX,ISM,23
0,20000,7360,SCX,ISM,23
2,1000,6000,SCX,ISM,24
1,10000,5930,SCX,ISM,24
0,20000,5887,SCX,ISM,24
2,1000,6756,SCX,ISM,25
1,10000,6706,SCX,ISM,25
0,20000,6573,SCX,ISM,25
2,1000,7150,SCX,ISM,26
1,10000,7059,SCX,ISM,26
0,20000,6965,SCX,ISM,26
2,1000,6292,SCX,ISM,27
1,10000,6230,SCX,ISM,27
0,20000,6168,SCX,ISM,27
2,1000,7197,SCX,ISM,28
1,10000,7030,SCX,ISM,28
0,20000,6789,SCX,ISM,28
2,1000,6300,SCX,ISM,29
1,10000,6244,SCX,ISM,29
0,20000,6127,SCX,ISM,29
2,1000,6951,SCX,ISM,30
1,10000,6841,SCX,ISM,30
0,20000,6657,SCX,ISM,30
2,1000,6034,SCX,ISM,31
1,10000,5910,SCX,ISM,31
0,20000,5862,SCX,ISM,31
2,1000,7402,SCX,ISM,32
1,10000,7219,SCX,ISM,32
0,20000,7039,SCX,ISM,32
2,1000,6527,SCX,ISM,33
1,10000,6467,SCX,ISM,33
0,20000,6401,SCX,ISM,33
2,1000,5926,SCX,ISM,34
1,10000,5834,SCX,ISM,34
0,20000,5763,SCX,ISM,34
2,1000,7243,SCX,ISM,35
1,10000,6988,SCX,ISM,35
0,20000,6871,SCX,ISM,35
2,1000,6984,SCX,ISM,36
1,10000,6895,SCX,ISM,36
0,20000,6843,SCX,ISM,36
2,1000,6516,SCX,ISM,37
1,10000,6376,SCX,ISM,37
0,20000,6340,SCX,ISM,37
2,1000,6719,SCX,ISM,38
1,10000,6609,SCX,ISM,38
0,20000,6545,SCX,ISM,38
2,1000,5996,SCX,ISM,39
1,10000,5929,SCX,ISM,39
0,20000,5921,SCX,ISM,39
2,1000,7558,SCX,ISM,40
1,10000,7412,SCX,ISM,40
0,20000,7165,SCX,ISM,40
2,1000,7290,SCX,ISM,41
1,10000,7046,SCX,ISM,41
0,20000,6874,SCX,ISM,41
2,1000,6572,SCX,ISM,42
1,10000,6453,SCX,ISM,42
0,20000,6393,SCX,ISM,42
2,1000,6425,SCX,ISM,43
1,10000,6345,SCX,ISM,43
